epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,96.0445,1.23268,2.83664,5.03293,0.01288,7.6919,0.69093,0.08551,0.08542,0.06122,0.69069,0.08512,0.08458,0.06035,1.03555,2.04487,5.04362,0.01355,0,0.00012271,0.00012271,0.00012271
2,191.3,1.05761,2.0191,3.75652,0.0099,4.54648,0.48487,0.30449,0.26094,0.18673,0.48618,0.30758,0.26475,0.18225,0.97593,1.70976,3.65443,0.01198,0,0.000241984,0.000241984,0.000241984
3,286.253,1.04723,1.80166,2.90566,0.00965,3.12143,0.4251,0.46606,0.36749,0.26877,0.4266,0.46091,0.36851,0.2587,0.9302,1.52124,2.83911,0.01119,0,0.000357188,0.000357188,0.000357188
4,381.003,1.0208,1.63475,2.35973,0.00925,2.45804,0.45602,0.56958,0.45759,0.33823,0.46003,0.57409,0.464,0.33377,0.9119,1.37895,2.25071,0.01092,0,0.000351685,0.000351685,0.000351685
5,476.231,0.99948,1.57017,2.01212,0.009,1.88592,0.42381,0.62219,0.46928,0.36231,0.42534,0.62671,0.4745,0.34971,0.85545,1.36042,2.07174,0.01018,0,0.00034558,0.00034558,0.00034558
6,571.447,0.98253,1.51918,1.80177,0.00875,1.5721,0.47822,0.67431,0.54957,0.42578,0.48548,0.6672,0.55412,0.41504,0.85217,1.26664,1.6196,0.00989,0,0.000339475,0.000339475,0.000339475
7,666.427,0.95746,1.45201,1.60074,0.00843,1.28156,0.47007,0.69841,0.56799,0.44281,0.47248,0.69862,0.57236,0.43227,0.82513,1.22512,1.41768,0.00966,0,0.00033337,0.00033337,0.00033337
8,761.201,0.9453,1.42241,1.4793,0.00833,1.08223,0.48196,0.68747,0.54953,0.42683,0.47133,0.72295,0.55622,0.41318,0.78943,1.21717,1.27192,0.00891,0,0.000327265,0.000327265,0.000327265
9,855.941,0.9329,1.40339,1.3836,0.00812,0.89092,0.53168,0.79168,0.62814,0.4991,0.53739,0.79669,0.63836,0.4929,0.78598,1.17577,1.10812,0.00898,0,0.00032116,0.00032116,0.00032116
10,950.427,0.93252,1.3932,1.31631,0.00814,0.80274,0.5663,0.73717,0.65501,0.52477,0.57305,0.75288,0.6663,0.51005,0.82458,1.15503,1.02806,0.00929,0,0.000315055,0.000315055,0.000315055
11,1045.04,0.92043,1.35501,1.24693,0.00787,0.7541,0.47395,0.67658,0.53268,0.42687,0.47844,0.67915,0.53611,0.4171,0.79197,1.17934,1.13882,0.00909,0,0.00030895,0.00030895,0.00030895
12,1139.59,0.91434,1.34749,1.20406,0.0079,0.71067,0.48908,0.73433,0.56373,0.45632,0.49431,0.74998,0.57041,0.44864,0.79043,1.15425,1.03926,0.00889,0,0.000302845,0.000302845,0.000302845
13,1234.16,0.90578,1.32842,1.14807,0.00778,0.6799,0.51201,0.74754,0.59191,0.47502,0.52114,0.76454,0.60395,0.47113,0.78371,1.13688,0.94551,0.00875,0,0.00029674,0.00029674,0.00029674
14,1328.69,0.89401,1.31656,1.11368,0.00761,0.67548,0.5158,0.7301,0.59585,0.48292,0.52251,0.73707,0.60634,0.47427,0.77196,1.08677,0.90506,0.00875,0,0.000290635,0.000290635,0.000290635
15,1423.16,0.88371,1.28693,1.08318,0.00751,0.66367,0.50548,0.69834,0.58024,0.47038,0.50853,0.69859,0.5889,0.46179,0.76789,1.09978,0.90253,0.00854,0,0.00028453,0.00028453,0.00028453
16,1517.66,0.87856,1.28007,1.0447,0.00739,0.64501,0.52224,0.73823,0.58739,0.48195,0.52762,0.74813,0.5971,0.46971,0.75089,1.09596,0.845,0.00832,0,0.000278425,0.000278425,0.000278425
17,1612.28,0.86412,1.2553,1.0159,0.00734,0.63972,0.52857,0.75676,0.63433,0.51842,0.54316,0.77117,0.64531,0.50782,0.76016,1.05366,0.80811,0.00852,0,0.00027232,0.00027232,0.00027232
18,1706.71,0.87265,1.27527,1.00996,0.00735,0.62702,0.50984,0.73371,0.5824,0.47528,0.51622,0.74704,0.59456,0.46644,0.76773,1.08767,0.85827,0.00875,0,0.000266215,0.000266215,0.000266215
19,1801.16,0.85999,1.23379,0.97463,0.00719,0.61069,0.48623,0.78453,0.58593,0.47945,0.4885,0.7903,0.59119,0.4657,0.7365,1.09735,0.80769,0.00821,0,0.00026011,0.00026011,0.00026011
